	ERR990557	ERR990558	ERR990559	ERR990560
ph-d-PB	0	0	0	0
CG16903-PA	340	408	209	321
CG13759-PA	1	0	0	1
CG13759-PB	1	0	0	1
CG13759-PC	1	0	0	1
CG13759-PD	1	0	0	1
wds-PA	41	56	32	35
wds-PB	41	56	32	35
egh-PC	17	11	25	28
egh-PB	17	11	25	28
egh-PD	17	11	25	28
Seipin-PA	15	22	15	15
brv3-PC	1	0	0	9
brv3-PB	0	0	5	0
Tsp3A-PA	2	9	5	4
Tsp3A-PB	2	9	5	4
eIF3g1-PA	1643	2114	1101	1728
Smyd3-PB	64	96	41	50
Klp3A-PA	212	219	146	230
Klp3A-PB	212	219	146	230
CG13760-PC	0	9	0	0
CG13760-PD	12	3	15	14
Vha36-3-PB	2	1	6	6
Vha36-3-PC	2	1	6	6
boi-PB	41	23	53	67
boi-PA	22	41	92	45
boi-PE	41	23	53	67
boi-PF	41	23	53	67
boi-PG	40	37	71	43
tko-PB	137	115	43	36
tko-PC	6	0	0	0
gt-PB	0	0	0	0
CG32797-PA	2	3	0	1
CG12496-PA	0	0	0	0
sgg-PD	53	58	214	205
sgg-PH	10	0	0	0
sgg-PI	10	0	0	0
sgg-PJ	43	62	85	101
sgg-PG	0	33	17	0
sgg-PK	0	0	0	0
sgg-PB	10	0	0	0
sgg-PA	43	62	85	101
sgg-PE	10	0	0	0
sgg-PF	10	0	0	0
sgg-PC	10	0	0	0
sgg-PM	3	6	0	3
sgg-PN	0	0	0	0
sgg-PO	0	0	0	0
sgg-PP	27	0	0	0
sgg-PQ	0	0	0	0
sgg-PR	3	0	0	0
per-PA	53	69	44	62
per-PB	53	69	44	62
CG2662-PA	30	27	12	25
CG2662-PB	30	27	12	25
eIF2Bbeta-PA	243	272	183	231
CG2681-PA	2	11	36	23
CG2694-PA	0	0	1	9
CG2694-PB	33	0	0	0
CG2694-PD	90	125	105	136
fs(1)Yb-PA	84	65	99	147
fs(1)Ya-PA	374	489	21	93
dwg-PA	92	119	89	163
CG2712-PA	92	102	24	77
CG12498-PA	0	0	0	0
w-PA	3	4	5	6
CG32795-PA	14	15	16	9
CG32795-PB	14	15	16	9
CG32795-PC	14	15	16	9
CG32795-PD	14	15	16	9
CG32795-PE	14	15	16	9
Syx4-PA	13	37	94	70
Syx4-PB	6	0	53	12
crm-PB	42	47	26	53
crm-PA	42	47	26	53
CG2701-PA	140	129	109	174
CG2685-PA	153	144	116	132
CG2680-PB	18	45	167	121
Csat-PA	16	12	11	7
Csat-PB	0	0	0	0
Csat-PC	16	12	11	7
CG2658-PA	120	135	97	96
CG2658-PC	120	135	97	96
CG2650-PA	79	28	0	4
CG2652-PA	0	0	0	0
HLH3B-PA	0	0	0	0
N-PA	439	451	327	476
N-PB	439	451	327	476
CG3939-PA	22	24	12	19
CG3939-PB	22	24	12	19
dnc-PA	13	20	0	0
dnc-PE	0	0	0	0
dnc-PN	9	5	47	21
dnc-PG	0	18	0	18
dnc-PF	11	13	15	3
dnc-PL	18	0	0	0
dnc-PB	22	37	70	75
dnc-PI	0	0	0	0
dnc-PC	14	16	8	17
dnc-PJ	0	0	0	0
dnc-PD	0	0	0	0
dnc-PP	0	0	0	0
dnc-PQ	0	1	0	0
dnc-PR	0	1	0	0
dnc-PS	22	37	70	75
dnc-PT	0	0	0	0
dnc-PU	0	0	0	0
ng1-PA	0	0	0	0
Sgs4-PC	2	5	16	0
CG10801-PA	0	0	0	13
CG10801-PB	22	8	10	0
CG12206-PA	23	20	9	27
CG12206-PB	23	20	9	27
CG12206-PC	23	20	9	27
CG16781-PA	5	0	5	3
CG16781-PB	0	4	0	0
CG16782-PA	1	1	0	2
CG14269-PA	0	0	0	1
CG14269-PB	0	0	0	1
CG12535-PB	0	1	0	0
CG12535-PF	0	1	0	0
CG12535-PC	0	1	0	0
CG12535-PD	0	1	0	0
CG12535-PE	0	1	0	0
CG10793-PA	4	1	13	1
Pig1-PB	0	0	1	4
ng4-PA	0	0	0	0
ng3-PB	0	0	0	0
ng2-PA	0	0	0	0
CG14265-PB	0	0	0	0
Fcp3C-PA	1	0	0	3
CG18508-PA	11	15	8	8
CG18508-PB	11	15	8	8
CG3526-PA	0	0	0	0
CG3526-PC	0	0	1	4
CG32793-PA	5	1	4	13
CG3592-PA	1	0	0	0
CG3598-PA	0	0	0	1
CG14420-PA	0	0	0	8
CG14421-PA	0	0	0	4
CG14422-PA	0	0	0	0
CG14423-PA	1	0	0	0
CG17959-PA	0	0	0	2
CG3603-PA	28	28	31	22
CG3603-PB	28	28	31	22
kirre-PB	1	2	0	2
kirre-PA	1	2	0	2
kirre-PC	1	2	0	2
kirre-PD	1	2	0	2
kirre-PE	1	2	0	2
kirre-PF	1	2	0	2
kirre-PG	1	2	0	2
CG4116-PA	0	2	0	1
CG4116-PB	3	0	2	0
rst-PA	47	53	18	44
rst-PB	47	53	18	44
CG14424-PA	0	3	0	0
CG14419-PA	5	1	99	13
CG14418-PA	0	0	0	0
CG14418-PB	1	0	0	0
CG14417-PA	0	0	6	6
CG14416-PA	1	1	0	0
CG10802-PA	79	95	15	56
CG10802-PB	0	0	20	0
CG10803-PA	53	0	121	53
CG10803-PB	4	4	2	1
CG10803-PC	4	4	2	1
CG10803-PD	4	4	2	1
CG10803-PE	51	73	20	102
CG13021-PA	1	0	0	1
CG13021-PB	1	0	0	1
ppk8-PG	43	47	18	23
ppk8-PH	7	0	7	0
Ilp7-PA	0	5	0	0
Mnt-PC	0	0	0	11
Mnt-PA	0	0	0	11
Mnt-PI	91	169	0	0
Mnt-PJ	0	0	0	0
Mnt-PD	72	55	104	99
Mnt-PE	0	0	0	11
Mnt-PF	24	1	56	4
Mnt-PG	35	42	0	0
Mnt-PH	72	55	104	99
Mnt-PK	0	0	0	0
Rala-PB	242	195	84	116
Rala-PA	40	163	96	93
Rala-PC	40	163	96	93
Parg-PB	89	77	48	60
Parg-PC	89	77	48	60
CG2875-PA	398	407	6	247
CG2875-PB	0	0	77	0
CG2875-PC	0	0	77	0
DIP-alpha-PA	6	6	2	0
DIP-alpha-PB	4	5	0	9
DIP-alpha-PC	6	6	2	0
Gas8-PB	0	0	0	0
Gas8-PC	1	0	0	0
Gas8-PD	0	0	0	0
CG14270-PA	129	173	49	113
CG10804-PA	0	0	0	3
CG10804-PB	4	2	1	0
CG10804-PC	0	0	0	0
CG10804-PD	4	2	1	0
CG2930-PD	4	3	13	3
CG2930-PA	24	30	101	53
CG2930-PB	24	30	101	53
CG2930-PE	0	26	43	0
CG2930-PF	24	30	101	53
CG15239-PA	0	0	0	1
CG2941-PA	101	93	55	53
CG2941-PB	101	93	55	53
CG32786-PB	30	54	177	210
CG32783-PB	0	0	0	88
Vap33-PB	100	74	62	91
Vap33-PA	414	433	218	384
Vap33-PC	100	74	62	91
Vap33-PE	100	74	62	91
CG6414-PA	12	10	3	4
CG6414-PB	12	10	3	4
CG6428-PA	39	32	48	45
lva-PC	566	548	614	575
lva-PD	566	548	614	575
CG2938-PB	50	50	51	61
CG2938-PC	50	50	51	61
CG2938-PD	50	50	51	61
CG15375-PB	0	0	0	1
brn-PA	11	22	17	21
cib-PC	0	33	42	0
cib-PA	65	55	216	237
cib-PB	65	55	216	237
cib-PD	65	55	216	237
cib-PE	65	55	216	237
dgt4-PA	9	12	6	11
dgt4-PB	9	12	6	11
dgt4-PC	9	12	6	11
tyf-PB	238	223	119	174
tyf-PC	238	223	119	174
tyf-PF	0	0	0	0
tyf-PG	0	0	0	0
tyf-PH	0	0	0	0
tyf-PI	238	223	119	174
tyf-PJ	238	223	119	174
tyf-PK	0	0	0	0
tyf-PL	0	0	0	0
tyf-PM	0	0	0	0
tyf-PN	238	223	119	174
GlcAT-I-PA	47	50	34	27
CG15570-PA	0	2	3	3
CG12691-PA	0	0	0	0
CG15572-PA	0	0	0	0
CG3626-PA	179	183	184	258
CG12688-PB	1	1	0	0
CG12693-PB	4	0	2	5
mRpL33-PA	20	18	27	10
mei-9-PA	99	80	58	77
mei-9-PB	99	80	58	77
CG15579-PA	2	0	0	0
CG15579-PB	2	0	0	0
CG12692-PB	0	0	0	0
CG12692-PC	0	0	0	0
CG15578-PA	0	1	0	0
CG15577-PA	0	0	0	1
CG15576-PB	0	0	0	0
Muc4B-PB	0	2	1	4
Muc4B-PC	0	2	1	4
Femcoat-PB	0	1	0	1
CG15571-PA	0	0	0	0
Fas2-PA	18	95	119	108
Fas2-PB	163	233	747	431
Fas2-PC	499	404	623	1116
Fas2-PD	0	0	0	0
Fas2-PF	173	146	257	171
Fas2-PG	0	0	0	17
Fas2-PH	0	0	0	31
Tip60-PA	71	64	30	51
Tip60-PB	0	7	19	26
Tip60-PC	71	64	30	51
Nsun2-PA	731	775	222	305
Xpac-PA	74	90	43	65
CG6379-PA	67	56	43	62
CG6379-PB	67	56	43	62
bi-PA	1	0	0	0
bi-PF	0	0	0	0
bi-PB	1	0	0	0
bi-PC	1	0	0	0
bi-PG	0	0	1	1
bi-PD	0	0	0	0
bi-PE	0	1	4	4
CG3556-PA	0	0	4	1
CG3556-PB	0	0	4	1
CHOp24-PA	51	57	61	82
CHOp24-PB	51	57	61	82
CG3568-PA	15	12	63	67
CG15912-PA	1	2	0	5
CG3527-PA	208	234	131	115
CG3546-PA	0	2	0	1
Pp2C1-PA	185	199	227	277
Pp2C1-PB	185	199	227	277
CG11444-PA	181	192	114	115
CG11444-PB	181	192	114	115
CG11436-PA	49	83	42	46
Usf-PB	37	39	43	68
Usf-PC	37	39	43	68
rb-PA	77	78	67	83
rb-PD	77	78	67	83
rb-PC	77	78	67	83
ctp-PB	30	42	42	46
ctp-PA	30	42	42	46
ctp-PC	30	42	42	46
ctp-PE	30	42	42	46
l(1)G0334-PC	19	118	32	59
l(1)G0334-PA	184	191	151	152
l(1)G0334-PD	184	191	151	152
l(1)G0334-PB	0	0	0	0
CG7024-PA	1	6	7	23
CG6978-PA	0	0	0	0
CG12682-PA	0	0	2	3
boil-PA	0	0	0	0
CG6927-PA	221	231	44	92
CG32772-PC	48	48	29	65
CG32772-PD	9	3	16	22
CG32772-PE	48	48	29	65
CG32772-PF	9	3	16	22
CG6903-PA	35	41	26	44
CG6903-PB	35	41	26	44
Ptp4E-PA	104	97	6	86
Ptp4E-PB	0	0	0	0
Ptp4E-PC	104	97	6	86
Ptp4E-PD	104	97	6	86
Ptp4E-PF	104	97	6	86
Ptp4E-PG	0	0	0	0
Ptp4E-PH	127	29	308	183
CG12680-PB	1	2	1	1
CG12680-PC	1	2	1	1
CG15468-PA	1	3	0	0
CG2861-PA	0	0	0	0
CG2861-PC	9	6	0	2
CG2861-PD	10	0	20	0
CG2861-PE	10	19	20	66
CG15471-PB	0	0	0	0
CG15471-PC	0	0	0	0
CG2871-PA	0	0	0	0
Klf15-PA	2	0	1	0
CG15472-PA	0	0	4	0
Rpn13R-PA	7	1	5	3
CG15465-PA	1	1	4	3
CG15465-PB	1	1	4	3
snf-PA	382	416	261	344
dhd-PA	742	931	102	181
dhd-PB	742	931	102	181
CG4198-PA	18	18	2	0
CG4198-PB	0	6	5	6
Sas10-PA	505	546	135	257
Rnp4F-PB	77	78	47	79
Rnp4F-PA	77	78	47	79
Rnp4F-PD	77	78	47	79
Rnp4F-PF	77	78	47	79
CG15930-PB	22	21	113	240
TrxT-PA	2	1	3	3
TrxT-PB	2	1	3	3
CG17764-PA	0	0	0	9
CG3323-PA	8	8	9	3
CG5062-PA	1	0	2	2
CG32767-PC	123	80	75	82
CG32767-PD	123	80	75	82
CG32767-PE	123	80	75	82
CG32767-PF	123	80	75	82
CG32767-PG	0	86	0	0
CG32767-PH	123	80	75	82
XRCC1-PA	185	199	239	354
CanB-PA	0	1	4	11
CanB-PB	0	1	4	11
SK-PH	0	0	0	0
SK-PO	0	0	0	0
SK-PP	0	0	0	24
SK-PQ	3	13	0	0
SK-PI	1	0	0	0
SK-PJ	0	0	0	0
SK-PK	11	0	0	0
SK-PL	0	0	0	10
SK-PM	11	0	0	0
SK-PN	0	0	0	0
SK-PR	0	14	43	0
SK-PS	17	22	49	32
SK-PT	0	0	42	20
SK-PU	0	0	0	19
Usp16-45-PA	91	98	54	80
Usp16-45-PD	91	98	54	80
Usp16-45-PB	91	98	54	80
Usp16-45-PE	91	98	54	80
Usp16-45-PF	91	98	54	80
CG16756-PA	35	46	126	116
CG15784-PA	60	89	283	144
CG15784-PB	60	89	283	144
SPR-PA	8	3	22	7
SPR-PC	8	3	22	7
SPR-PB	8	3	22	7
CG4151-PA	0	0	0	0
CG4151-PB	0	0	0	0
CG12730-PA	3	4	10	12
CG12730-PB	3	4	10	12
l(1)G0045-PA	199	257	56	124
Mlc-c-PA	153	261	433	347
Mlc-c-PB	9	4	3	6
RhoGAP5A-PB	50	27	56	1
RhoGAP5A-PA	38	61	61	106
CG32762-PA	0	0	0	0
CG32762-PB	0	0	0	0
frma-PF	20	14	27	13
frma-PG	20	14	27	13
NAAT1-PA	6	13	101	43
CG3309-PA	56	0	2	6
CG3309-PB	0	63	14	41
CG4119-PA	122	119	83	116
CG4119-PB	122	119	83	116
RpL35-PB	2657	2967	1633	2284
RpL35-PA	2657	2967	1633	2284
RpL35-PC	2657	2967	1633	2284
Gr5a-PA	1	2	0	0
cv-PA	23	18	18	20
cv-PB	23	18	18	20
cv-PC	23	18	18	20
CG4096-PB	0	0	0	4
CG4096-PC	1	0	0	0
CG15773-PA	4	8	0	8
CG15773-PB	0	0	2	0
CG4078-PA	74	83	59	77
CG4078-PB	74	83	59	77
CG15772-PA	13	7	9	14
CG15772-PB	13	7	9	14
CG15771-PA	23	24	19	15
CG15771-PD	23	24	19	15
