"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG12773-PC" 13.4212719583969 -0.458350187038962 1.13781183388695 -0.402834786375145 0.687069768543473 0.940500334760714
"CG12773-PB" 73.4914087050892 -0.532259530463351 0.557072439000333 -0.955458380634467 0.339345942798896 0.738402185749759
"MTPAP-PA" 41.6029702946132 -0.48465873337143 0.834522170482956 -0.580761962370572 0.561400894513563 0.893850201128753
"MTPAP-PB" 4.47198415591159 -1.19540920575443 3.15025578881016 -0.379464172401675 0.704343204612687 NA
"MTPAP-PC" 41.6029702946132 -0.48465873337143 0.834522170482956 -0.580761962370572 0.561400894513563 0.893850201128753
"CG11409-PB" 45.9900749478718 0.533549807216706 0.789101619346358 0.676148412493013 0.498946421898828 0.857742370458266
"CG11409-PC" 45.9900749478718 0.533549807216706 0.789101619346358 0.676148412493013 0.498946421898828 0.857742370458266
"DAAM-PB" 0 NA NA NA NA NA
"DAAM-PA" 0 NA NA NA NA NA
"DAAM-PG" 0 NA NA NA NA NA
"DAAM-PE" 0 NA NA NA NA NA
"DAAM-PF" 0 NA NA NA NA NA
"DAAM-PD" 311.20918388267 -0.150955237481164 0.296441100299186 -0.509225061331951 0.610594478482452 0.917458174528982
"CG32811-PB" 0.24688302163325 -1.41904814241044 4.99476698802488 -0.284106975523113 0.776328401446699 NA
"Atf3-PA" 1.19699109533003 -3.70368637885526 4.8286845856407 -0.767017665612099 0.443071012354548 NA
"Atf3-PB" 94.4625767890805 2.58209000829491 1.2041428934629 2.14433853516279 0.0320057712797642 0.201781565555352
"Atf3-PC" 1.19699109533003 -3.70368637885526 4.8286845856407 -0.767017665612099 0.443071012354548 NA
"CG11403-PA" 201.831649948605 0.247579149725647 0.429300888495666 0.576703091841253 0.564140043441819 0.894016345773111
"CG11398-PA" 13.0714743248842 0.318720231132835 1.18443437128083 0.269090663747097 0.787859914800787 0.967696773141039
"CG11398-PD" 13.0714743248842 0.318720231132835 1.18443437128083 0.269090663747097 0.787859914800787 0.967696773141039
"CG11384-PA" 0.704183522379724 -0.982371275582181 4.88614781928241 -0.201052303760727 0.840657676476327 NA
"eIF4E7-PA" 2.44096768482791 -1.22538072293104 2.3273399847916 -0.526515563234638 0.598530041543585 NA
"CG14777-PB" 3.90300629413826 0.013036756498196 1.82879758811929 0.00712859453823033 0.994312252650007 NA
"CG14777-PD" 3.90300629413826 0.013036756498196 1.82879758811929 0.00712859453823033 0.994312252650007 NA
"CG14777-PE" 3.90300629413826 0.013036756498196 1.82879758811929 0.00712859453823033 0.994312252650007 NA
"CG14777-PC" 3.90300629413826 0.013036756498196 1.82879758811929 0.00712859453823033 0.994312252650007 NA
