"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ssp3-PB" 191.591958987791 6.43074868498863 0.722264365465322 8.90359401968502 5.40669362590145e-19 8.33417246552591e-16
"pigeon-PA" 48.673032885329 -9.04850714510371 1.75899818073162 -5.14412535738959 2.68770028602901e-07 2.27863230249539e-05
"Tep4-PA" 1301.14179275825 2.7923732336634 0.796139242099608 3.50739303629758 0.000452520236737551 0.0095197681564788
"lok-PB" 125.231593679818 -2.70528768953965 0.457755914690746 -5.90989128205435 3.4233359161112e-09 5.98413234985377e-07
"lok-PC" 125.231593679818 -2.70528768953965 0.457755914690746 -5.90989128205435 3.4233359161112e-09 5.98413234985377e-07
"CG9336-PA" 150.442197680709 2.1418181781723 0.533376302790889 4.01558555744836 5.92983814691929e-05 0.0019410489501769
"Itgbn-PA" 38.261331764644 3.24880753723113 0.915550170226468 3.54847570660984 0.000387467738915762 0.00847117153613899
"Itgbn-PB" 38.261331764644 3.24880753723113 0.915550170226468 3.54847570660984 0.000387467738915762 0.00847117153613899
"CG9253-PA" 562.520081539947 -1.45550914196958 0.254074785462584 -5.72866425654791 1.01224510004099e-08 1.41848164597479e-06
"CG9246-PA" 1264.65419761408 -1.22208735657415 0.291314011180767 -4.1950860915365 2.72767964078697e-05 0.00101873427288951
"CG10286-PA" 593.900258990296 -1.23557825693046 0.295406974866639 -4.18263061489412 2.881553678912e-05 0.00106680402138934
"CG7443-PA" 338.479540852933 1.94292044606766 0.50392800877623 3.85555161100485 0.000115468965371308 0.00323084451623087
"DppIII-PC" 522.156893935351 -1.04279243826289 0.298196663539977 -3.49699566012444 0.000470529486941608 0.00977159499136391
"CG9626-PA" 115.653383529389 1.8345124120018 0.51228666224953 3.58102708344225 0.000342246171097597 0.00762744606842576
"CG9626-PB" 115.653383529389 1.8345124120018 0.51228666224953 3.58102708344225 0.000342246171097597 0.00762744606842576
"CG9626-PC" 115.653383529389 1.8345124120018 0.51228666224953 3.58102708344225 0.000342246171097597 0.00762744606842576
"CG8036-PB" 762.286375384256 -0.959681445006221 0.252843449653075 -3.79555589169107 0.000147313001305827 0.0039585408084653
"CG8036-PC" 762.286375384256 -0.959681445006221 0.252843449653075 -3.79555589169107 0.000147313001305827 0.0039585408084653
"CCT7-PA" 873.074516258455 -1.07874841120042 0.288395585168081 -3.74051638332715 0.000183642574760877 0.00468952333982745
"CG18473-PA" 85.0915862352352 4.21008871478737 0.962949756324003 4.37207516502118 1.23071136940228e-05 0.000541763596119473
"CG8129-PB" 40.5268211535016 3.68371526033827 0.992876291385617 3.71014525404513 0.000207140365665606 0.0051872699086465
"alpha-Man-IIa-PB" 34.552122907816 8.59437705267442 1.95565649146078 4.39462507357559 1.10964101090799e-05 0.000495133499498837
"Fst-PA" 198.257982927309 3.49516707443383 0.824766161428096 4.23776730653194 2.25753563744838e-05 0.00086799941652097
"mRpL47-PB" 277.068303095275 -1.26643386430223 0.319075720662857 -3.96906998022697 7.21536912764376e-05 0.00222420276646898
"eloF-PA" 70.0919957432605 3.33218280347636 0.686624860007864 4.85298886998964 1.216145186193e-06 8.21232802828157e-05
"pont-PA" 536.872749503236 -1.29423954658968 0.289969370743097 -4.46336640064075 8.06819120651808e-06 0.000377912293087626
"sle-PB" 2317.49277659794 -0.948222924595392 0.222435311925944 -4.26291543543719 2.01776893865474e-05 0.000808151943001906
"Art1-PA" 865.738131335324 -1.04008731570043 0.273444876438652 -3.80364528765919 0.000142582305450992 0.00385586215506702
"RpL3-PA" 3942.21102475371 -0.612733199714632 0.14553171711498 -4.21030694793858 2.55023963572433e-05 0.00096112697804036
"RpL3-PH" 3942.21102475371 -0.612733199714632 0.14553171711498 -4.21030694793858 2.55023963572433e-05 0.00096112697804036
"CG3397-PA" 21.4986795625504 7.90897299973015 2.13190960581984 3.70980691589347 0.000207417374266474 0.0051872699086465
"pps-PB" 247.725225150135 1.85885955491561 0.338646596041633 5.48908383147335 4.04023849320954e-08 4.69221122540144e-06
"Cyp9f2-PA" 416.47739029632 1.72454950855807 0.416337666109906 4.1421894989026 3.44005921722669e-05 0.0012410562571765
"Men-PB" 353.683332882521 0.951093632122166 0.255630722817976 3.72057639096611 0.00019876860495924 0.00500790559537722
"Men-PA" 1361.39032607445 1.99206049901537 0.309843203682799 6.42925349124239 1.28232129084817e-10 3.88268567993241e-08
"CG10126-PA" 155.814323323879 3.50511260140045 0.58256368518171 6.01670287825639 1.78005369573257e-09 3.59316553152875e-07
"ry-PA" 276.430244900364 3.65293895229325 0.638543744427417 5.72073406743472 1.06064797823407e-08 1.47412681302762e-06
